# CPU: 12th Gen Intel(R) Core(TM) i5-12600KF
# CPU Frequency: 3.69 GHz
# Compiler: Clang 19.1.5
# 
kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,bandwidth_gbs,speedup,run_id,compiler_flags
stencil_3point,vectorized,f32,262144,1,1,0.000038882,8836926.675,0.547,80.904,0.922,178,vectorized
memory_bandwidth,vectorized,f32,262144,1,1,0.000035353,1943808.920,0.497,59.320,0.932,179,vectorized
axpy,scalar,f64,262144,0,1,0.000085226,1612641.137,1.198,73.821,0.000,180,vectorized
dot_product,scalar,f64,262144,0,1,0.000050823,2704266.842,0.715,82.528,0.000,181,vectorized
elementwise_multiply,scalar,f64,262144,0,1,0.000094660,725961.090,1.331,66.464,0.000,182,vectorized
stencil_3point,scalar,f64,262144,0,1,0.000078927,4353356.693,1.110,79.712,0.000,183,vectorized
memory_bandwidth,scalar,f64,262144,0,1,0.000077822,883034.061,1.094,53.896,0.000,184,vectorized
axpy,vectorized,f64,262144,0,1,0.000084986,1617195.223,1.195,74.029,1.003,185,vectorized
dot_product,vectorized,f64,262144,0,1,0.000054268,2532596.624,0.763,77.289,0.937,186,vectorized
elementwise_multiply,vectorized,f64,262144,0,1,0.000105187,653307.697,1.479,59.812,0.900,187,vectorized
stencil_3point,vectorized,f64,262144,0,1,0.000074563,4608148.598,1.048,84.378,1.059,188,vectorized
memory_bandwidth,vectorized,f64,262144,0,1,0.000071428,962080.372,1.004,58.721,1.090,189,vectorized
axpy,scalar,f64,262144,1,1,0.000082078,1674491.992,1.154,76.652,0.000,190,vectorized
dot_product,scalar,f64,262144,1,1,0.000048785,2817237.962,0.686,85.975,0.000,191,vectorized
elementwise_multiply,scalar,f64,262144,1,1,0.000107867,637075.998,1.517,58.326,0.000,192,vectorized
stencil_3point,scalar,f64,262144,1,1,0.000073780,4657053.193,1.037,85.273,0.000,193,vectorized
memory_bandwidth,scalar,f64,262144,1,1,0.000071915,955565.277,1.011,58.323,0.000,194,vectorized
axpy,vectorized,f64,262144,1,1,0.000082062,1674818.472,1.154,76.667,1.000,195,vectorized
dot_product,vectorized,f64,262144,1,1,0.000049049,2802074.522,0.690,85.513,0.995,196,vectorized
elementwise_multiply,vectorized,f64,262144,1,1,0.000095594,718868.096,1.344,65.814,1.128,197,vectorized
stencil_3point,vectorized,f64,262144,1,1,0.000073098,4700503.202,1.028,86.069,1.009,198,vectorized
memory_bandwidth,vectorized,f64,262144,1,1,0.000077178,890402.403,1.085,54.346,0.932,199,vectorized
axpy,scalar,f32,1048576,0,1,0.000169418,12979867.863,0.596,74.271,0.000,200,vectorized
dot_product,scalar,f32,1048576,0,1,0.000102448,21464774.844,0.360,81.882,0.000,201,vectorized
elementwise_multiply,scalar,f32,1048576,0,1,0.000224456,4898561.983,0.789,56.060,0.000,202,vectorized
stencil_3point,scalar,f32,1048576,0,1,0.000164594,33400720.231,0.579,76.448,0.000,203,vectorized
memory_bandwidth,scalar,f32,1048576,0,1,0.000149721,7343736.867,0.526,56.028,0.000,204,vectorized
axpy,vectorized,f32,1048576,0,1,0.000169498,12973741.597,0.596,74.236,1.000,205,vectorized
dot_product,vectorized,f32,1048576,0,1,0.000103590,21228142.234,0.364,80.979,0.989,206,vectorized
elementwise_multiply,vectorized,f32,1048576,0,1,0.000259913,4230306.401,0.914,48.412,0.864,207,vectorized
stencil_3point,vectorized,f32,1048576,0,1,0.000166470,33024317.563,0.585,75.587,0.989,208,vectorized
memory_bandwidth,vectorized,f32,1048576,0,1,0.000158009,6958537.980,0.555,53.089,0.948,209,vectorized
axpy,scalar,f32,1048576,1,1,0.000164662,13354770.713,0.579,76.417,0.000,210,vectorized
dot_product,scalar,f32,1048576,1,1,0.000109132,20150123.337,0.384,76.867,0.000,211,vectorized
elementwise_multiply,scalar,f32,1048576,1,1,0.000218452,5033195.524,0.768,57.600,0.000,212,vectorized
stencil_3point,scalar,f32,1048576,1,1,0.000154196,35653052.843,0.542,81.603,0.000,213,vectorized
memory_bandwidth,scalar,f32,1048576,1,1,0.000140715,7813748.545,0.495,59.614,0.000,214,vectorized
axpy,vectorized,f32,1048576,1,1,0.000167534,13125832.718,0.589,75.107,0.983,215,vectorized
dot_product,vectorized,f32,1048576,1,1,0.000109273,20124122.665,0.384,76.767,0.999,216,vectorized
elementwise_multiply,vectorized,f32,1048576,1,1,0.000196145,5605606.192,0.689,64.151,1.114,217,vectorized
stencil_3point,vectorized,f32,1048576,1,1,0.000149386,36801026.431,0.525,84.231,1.032,218,vectorized
memory_bandwidth,vectorized,f32,1048576,1,1,0.000137571,7992321.270,0.484,60.977,1.023,219,vectorized
axpy,scalar,f64,1048576,0,1,0.000393900,5582694.227,1.385,63.889,0.000,220,vectorized
dot_product,scalar,f64,1048576,0,1,0.000276249,7960293.989,0.971,60.732,0.000,221,vectorized
elementwise_multiply,scalar,f64,1048576,0,1,0.000685302,1604419.114,2.409,36.722,0.000,222,vectorized
stencil_3point,scalar,f64,1048576,0,1,0.000380457,14449880.378,1.337,66.146,0.000,223,vectorized
memory_bandwidth,scalar,f64,1048576,0,1,0.000324611,3387166.879,1.141,51.684,0.000,224,vectorized
axpy,vectorized,f64,1048576,0,1,0.000416581,5278741.122,1.464,60.410,0.946,225,vectorized
dot_product,vectorized,f64,1048576,0,1,0.000415646,5290615.703,1.461,40.364,0.665,226,vectorized
elementwise_multiply,vectorized,f64,1048576,0,1,0.000699052,1572861.000,2.457,36.000,0.980,227,vectorized
stencil_3point,vectorized,f64,1048576,0,1,0.000432386,12714468.416,1.520,58.202,0.880,228,vectorized
memory_bandwidth,vectorized,f64,1048576,0,1,0.000513170,2142587.501,1.804,32.693,0.633,229,vectorized
axpy,scalar,f64,1048576,1,1,0.000440550,4991540.700,1.549,57.124,0.000,230,vectorized
dot_product,scalar,f64,1048576,1,1,0.000274207,8019573.735,0.964,61.184,0.000,231,vectorized
elementwise_multiply,scalar,f64,1048576,1,1,0.000669364,1642621.395,2.353,37.597,0.000,232,vectorized
stencil_3point,scalar,f64,1048576,1,1,0.000357436,15380538.447,1.256,70.407,0.000,233,vectorized
memory_bandwidth,scalar,f64,1048576,1,1,0.000326100,3371700.791,1.146,51.448,0.000,234,vectorized
axpy,vectorized,f64,1048576,1,1,0.000379707,5791368.753,1.335,66.277,1.160,235,vectorized
dot_product,vectorized,f64,1048576,1,1,0.000271686,8093988.115,0.955,61.752,1.009,236,vectorized
